Report runtime: June 11th 242024, 4:42:22 pm,,,,,,The Port Authority of New York and New Jersey
User: aanantharajah,,,,,,,TRN-201 Transaction Research
 
Parameters for this report
Plazas: All,Lanes: All,Lane State: All,Special/Escort: All,Charged Class: All,Tag Class: All,Tag Agency: All,Tag: None,AVC Class: All,Speed: All,Mismatch Flag: All,Plan Type: All,Recon Type: All,Revenue Type: All,Plate State: All,Plate: None,Plate Type: All,Hide/Show Plate Data Column: Hide,Start Date: 06/11/2024,Start Time: 12:00 pm,End Date: 06/11/2024,End Time: 3:00 pm,Recon Code: All,Hot List Reason: All,Transaction Flag: All,Resolution: All,Single Tag Only: No,Flush Converted Only: No,Tag Protocols: All

Transaction Research
,,,,,,,Lane Config,,,,Transaction,,,,,,Tag,,,,,,Class,,,,Axles,,,,,,,,,,Revenue,,,,,,Hot List,,Processing,,,,,ATRN File,,,,,,,Reconciliation,,,,
LT,6,06/11/2024 14:09:19.916, ,6,x,x,O,U,U,Y,1548007248,Norm,N,Y,1,14,-, , , ,-, , , , , , ,N, , ,139,189,507,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:22.199, ,6,x,x,O,U,U,Y,1548007261,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,140,184,495,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:24.326, ,6,x,x,O,U,U,Y,1548007272,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,160,197,482,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:27.855,06/11/2024 14:09:27.617,6,x,x,O,U,U,Y,1548005164,Norm,N,Y,1,15,008-14314554,B, ,Y,IAG,30, ,1,72, , ,N,2, ,138,180,501,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:09:29.466,06/11/2024 14:09:29.242,6,x,x,O,U,U,Y,1548005152,Norm,N,Y,1,24,005-04051951,V, ,Y,IAG,31, ,1,72, , ,N,2, ,142,204,505,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:29.894, ,6,x,x,O,U,U,Y,1548007334,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,162,179,481,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:09:31.041,06/11/2024 14:09:30.876,6,x,x,O,U,U,Y,1548005174,Norm,N,Y,1,22,008-14381074,V, ,Y,IAG,36, ,1,72, , ,N,2, ,139,181,490,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:31.917,06/11/2024 14:09:31.582,6,x,x,O,U,U,Y,1548005191,Norm,N,Y,1,16,008-15293745,V, ,Y,IAG,30, ,1,72, , ,N,2, ,172,182,548,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:34.650, ,6,x,x,O,U,U,Y,1548007367,Norm,N,Y,1,17,-, , , ,-, , , , , , ,N, , ,156,184,498,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:36.659,06/11/2024 14:09:36.467,6,x,x,O,U,U,Y,1548005267,Norm,N,Y,1,17,022-12602732,B, ,Y,IAG,50, ,1,72, , ,N,2, ,139,184,496,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:09:37.985,06/11/2024 14:09:37.799,6,x,x,O,U,U,Y,1548005254,Norm,N,Y,1,32,005-04735076,V,C,Y,IAG,24, ,1,72, , ,N,2, ,170,194,515,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:39.078,06/11/2024 14:09:38.778,6,x,x,O,U,U,Y,1548005284,Norm,N,Y,1,18,008-12974180,V, ,Y,IAG,45, ,1,72, , ,N,2, ,160,188,478,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:40.855,06/11/2024 14:09:40.610,6,x,x,O,U,U,Y,1548005304,Norm,N,Y,1,18,005-04825776,V,N,Y,IAG,40, ,1,72, , ,N,2, ,138,165,493,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:09:40.875,06/11/2024 14:09:40.794,6,x,x,O,U,U,Y,1548005277,Norm,N,Y,1,38,022-14286447,V, ,Y,IAG,20, ,1,72, , ,N,2, ,163,184,523,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:42.604, ,6,x,x,O,U,U,Y,1548007425,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,202,186,569,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:44.913, ,6,x,x,O,U,U,Y,1548007443,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,203,216,565,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:48.282,06/11/2024 14:09:48.039,6,x,x,O,U,U,Y,1548005361,Norm,N,Y,1,15,086-00178779,I, ,N,IAG,50, ,1,72, , ,N,2, ,159,188,493,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:09:50.444, ,6,x,x,O,U,U,Y,1548007479,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,187,203,590,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:50.581, ,6,x,x,O,U,U,Y,1548007500,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,205,186,560,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:09:52.013,06/11/2024 14:09:51.850,6,x,x,O,U,U,Y,1548005375,Norm,N,Y,1,20,022-11488889,V, ,Y,IAG,34, ,1,72, , ,N,2, ,140,186,470,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:52.478,06/11/2024 14:09:52.211,6,x,x,O,U,U,Y,1548005390,Norm,N,Y,1,18,005-03239460,V,SC,Y,IAG,42, ,1,72, , ,N,2, ,141,185,509,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:55.657,06/11/2024 14:09:55.418,6,x,x,O,U,U,Y,1548005614,Norm,N,Y,1,18,021-04997887,V, ,Y,IAG,41, ,1,72, , ,N,2, ,162,181,457,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:09:56.985,06/11/2024 14:09:56.778,6,x,x,O,U,U,Y,1548005557,Norm,N,Y,1,28,086-00383630,V, ,Y,IAG,14, ,1,72, , ,N,2, ,154,201,486,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:09:58.508,06/11/2024 14:09:58.295,6,x,x,O,U,U,Y,1548005734,Norm,N,Y,1,19,022-14696555,V, ,Y,IAG,32, ,1,72, , ,N,2, ,162,196,492,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:10:01.236, ,6,x,x,O,U,U,Y,1548007595,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,162,182,489,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:10:01.383, ,6,x,x,O,U,U,Y,1548007581,Norm,N,Y,1,32,-, , , ,-, , , , , , ,N, , ,140,177,498,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:10:02.621,06/11/2024 14:10:02.384,6,x,x,O,U,U,Y,1548005760,Norm,N,Y,1,25,005-03428122,V,N,Y,IAG,28, ,1,72, , ,N,2, ,166,197,519,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:10:03.327,06/11/2024 14:10:03.099,6,x,x,O,U,U,Y,1548005778,Norm,N,Y,1,20,008-10381459,V,SC,Y,IAG,33, ,1,72, , ,N,2, ,173,204,519,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:10:05.393,06/11/2024 14:10:05.247,6,x,x,O,U,U,Y,1548005792,Norm,N,Y,1,20,008-09872968,V, ,Y,IAG,32, ,1,72, , ,N,2, ,161,195,462,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:10:06.655,06/11/2024 14:10:06.432,6,x,x,O,U,U,Y,1548005793,Norm,N,Y,1,31,008-13289366,V, ,Y,IAG,22, ,1,72, , ,N,2, ,172,196,554,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:10:07.175, ,6,x,x,O,U,U,Y,1548007624,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,203,220,549,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:10:10.441,06/11/2024 14:10:10.235,6,x,x,O,U,U,Y,1548005829,Norm,N,Y,1,26,022-11209029,V, ,Y,IAG,25, ,1,72, , ,N,2, ,164,186,483,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:10:10.466, ,6,x,x,O,U,U,Y,1548007663,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,390,263,1191,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:10:12.322,06/11/2024 14:10:12.089,6,x,x,O,U,U,Y,1548005850,Norm,N,Y,1,27,022-10193765,V, ,Y,IAG,25, ,1,72, , ,N,2, ,171,192,529,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:10:13.172,06/11/2024 14:10:12.979,6,x,x,O,U,U,Y,1548005862,Norm,N,Y,1,21,022-08642655,V, ,Y,IAG,30, ,1,72, , ,N,2, ,159,174,448,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,4,06/11/2024 14:10:57.810,06/11/2024 13:59:25.639,0,x,x,O,E,N,Y,1548004299,Spur,N,Y,8,0,004-10738591,V, ,N,IAG,24, ,5,791, , ,N,5, ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
GWBU,4,06/11/2024 14:10:57.810,06/11/2024 13:59:25.651,0,x,x,O,E,N,Y,1548004300,Spur,N,Y,8,0,035-16731090,I, ,N,SeGO,21, ,1,8, , ,N, , ,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:24.664,06/11/2024 14:11:24.546,6,x,x,O,U,U,Y,1548006458,Norm,N,Y,1,25,005-03449597,V, ,Y,IAG,32, ,1,72, , ,N,2, ,139,182,502,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:26.170,06/11/2024 14:11:25.988,6,x,x,O,U,U,Y,1548006482,Norm,N,Y,1,26,008-10656451,B, ,Y,IAG,32, ,1,72, , ,N,2, ,167,187,511,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:29.665,06/11/2024 14:11:29.409,6,x,x,O,U,U,Y,1548006505,Norm,N,Y,1,25,008-16375687,V, ,Y,IAG,15, ,1,72, , ,N,2, ,171,194,531,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,2,06/11/2024 14:11:31.705, ,6,x,x,O,U,U,Y,1548008321,Norm,N,Y,1,18,-, , , ,-, , , , , , ,Y, , ,336,276,1412,0,4,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:32.237,06/11/2024 14:11:32.014,6,x,x,O,U,U,Y,1548006526,Norm,N,Y,1,25,008-10045533,V,C,Y,IAG,23, ,1,72, , ,N,2, ,167,199,536,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:35.833,06/11/2024 14:11:35.663,6,x,x,O,U,U,Y,1548006550,Norm,N,Y,1,21,005-04801584,V,SC,Y,IAG,37, ,1,72, , ,N,2, ,159,181,479,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:37.606, ,6,x,x,O,U,U,Y,1548008356,Norm,N,Y,1,21,-, , , ,-, , , , , , ,N, , ,182,192,575,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:38.094,06/11/2024 14:11:37.907,6,x,x,O,U,U,Y,1548006644,Norm,N,Y,1,21,008-15719430,V, ,Y,IAG,30, ,1,72, , ,N,2, ,165,192,474,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:39.642,06/11/2024 14:11:39.327,6,x,x,O,U,U,Y,1548006670,Norm,N,Y,1,22,008-15284372,V, ,Y,IAG,24, ,6,799, , ,N,7, ,162,177,510,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:40.445,06/11/2024 14:11:40.261,6,x,x,O,U,U,Y,1548006671,Norm,N,Y,1,23,008-10992450,V, ,Y,IAG,35, ,1,72, , ,N,2, ,165,182,506,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:42.050, ,6,x,x,O,U,U,Y,1548008395,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,226,214,561,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:44.409,06/11/2024 14:11:44.131,6,x,x,O,U,U,Y,1548006722,Norm,N,Y,1,20,008-16571299,V,S,Y,IAG,27, ,1,72, , ,N,2, ,159,198,465,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:46.272,06/11/2024 14:11:45.999,6,x,x,O,U,U,Y,1548006750,Norm,N,Y,1,20,005-03714313,U, ,N,IAG,36, ,1,72, , ,N,2, ,184,220,590,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:48.110,06/11/2024 14:11:47.905,6,x,x,O,U,U,Y,1548006760,Norm,N,Y,1,22,086-00014011,V, ,Y,IAG,40, ,1,72, , ,N,2, ,140,174,502,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:50.229,06/11/2024 14:11:49.943,6,x,x,O,U,U,Y,1548006782,Norm,N,Y,1,21,008-09251394,V,C,Y,IAG,30, ,1,72, , ,N,2, ,179,182,522,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:51.986,06/11/2024 14:11:51.841,6,x,x,O,U,U,Y,1548006800,Norm,N,Y,1,21,022-12835735,B, ,Y,IAG,32, ,1,72, , ,N,2, ,138,178,499,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:11:52.799, ,6,x,x,O,U,U,Y,1548008473,Norm,N,Y,1,27,-, , , ,-, , , , , , ,N, , ,263,183,616,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:54.017,06/11/2024 14:11:53.769,6,x,x,O,U,U,Y,1548006823,Norm,N,Y,1,24,008-15998827,V, ,Y,IAG,25, ,1,72, , ,N,2, ,163,193,481,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:55.904,06/11/2024 14:11:55.549,6,x,x,O,U,U,Y,1548006831,Norm,N,Y,1,25,022-13259091,V, ,Y,IAG,20, ,1,72, , ,N,2, ,160,177,475,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:11:58.114,06/11/2024 14:11:57.969,6,x,x,O,U,U,Y,1548006858,Norm,N,Y,1,26,022-16197286,V, ,Y,IAG,33, ,1,264, , ,N,2, ,137,184,478,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:00.300,06/11/2024 14:12:00.096,6,x,x,O,U,U,Y,1548006982,Norm,N,Y,1,27,022-14969168,V, ,Y,IAG,20, ,1,72, , ,N,2, ,140,201,479,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:04.204,06/11/2024 14:12:04.031,6,x,x,O,U,U,Y,1548007119,Norm,N,Y,1,22,005-04480318,V, ,Y,IAG,29, ,1,72, , ,N,2, ,162,187,473,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:06.479, ,6,x,x,O,U,U,Y,1548008731,Norm,N,Y,1,22,-, , , ,-, , , , , , ,N, , ,190,205,551,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:08.165,06/11/2024 14:12:07.893,6,x,x,O,U,U,Y,1548007146,Norm,N,Y,1,29,008-15610063,V, ,Y,IAG,18, ,1,72, , ,N,2, ,204,186,595,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:09.044, ,6,x,x,O,U,U,Y,1548008767,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,146,177,540,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:10.970, ,6,x,x,O,U,U,Y,1548008779,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,191,172,484,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:12.245,06/11/2024 14:12:12.079,6,x,x,O,U,U,Y,1548007184,Norm,N,Y,1,30,008-12987468,V, ,Y,IAG,23, ,1,72, , ,N,2, ,139,169,502,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:13.423,06/11/2024 14:12:13.124,6,x,x,O,U,U,Y,1548007207,Norm,N,Y,1,19,008-12709676,B, ,Y,IAG,30, ,1,72, , ,N,2, ,171,185,535,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:16.673,06/11/2024 14:12:16.457,6,x,x,O,U,U,Y,1548007234,Norm,N,Y,1,16,008-12070547,V, ,Y,IAG,43, ,1,72, , ,N,2, ,137,176,490,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:18.158, ,6,x,x,O,U,U,Y,1548008847,Norm,N,Y,1,31,-, , , ,-, , , , , , ,N, , ,188,192,590,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:18.927, ,6,x,x,O,U,U,Y,1548008872,Norm,N,Y,1,17,-, , , ,-, , , , , , ,N, , ,140,171,504,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:19.733,06/11/2024 14:12:19.554,6,x,x,O,U,U,Y,1548007236,Norm,N,Y,1,29,022-11896259,V,S,Y,IAG,29, ,1,72, , ,N,2, ,140,191,486,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:21.816,06/11/2024 14:12:21.504,6,x,x,O,U,U,Y,1548007255,Norm,N,Y,1,16,008-11010942,V, ,Y,IAG,50, ,1,72, , ,N,2, ,163,199,484,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:24.524,06/11/2024 14:12:24.204,6,x,x,O,U,U,Y,1548007288,Norm,N,Y,1,17,005-05146111,V, ,Y,IAG,34, ,1,72, , ,N,2, ,170,213,510,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:25.264,06/11/2024 14:12:25.049,6,x,x,O,U,U,Y,1548007260,Norm,N,Y,1,29,005-03606186,V, ,Y,IAG,24, ,1,72, , ,N,2, ,169,186,522,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:26.984,06/11/2024 14:12:26.669,6,x,x,O,U,U,Y,1548007321,Norm,N,Y,1,15,022-12182809,B, ,Y,IAG,62, ,1,72, , ,N,2, ,159,190,465,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:28.045,06/11/2024 14:12:27.904,6,x,x,O,U,U,Y,1548007297,Norm,N,Y,1,28,006-11209402,V, ,Y,IAG,20, ,1,72, , ,N,2, ,161,198,464,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:28.808,06/11/2024 14:12:28.589,6,x,x,O,U,U,Y,1548007325,Norm,N,Y,1,17,008-09653776,V, ,Y,IAG,31, ,1,72, , ,N,2, ,139,174,496,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:29.758,06/11/2024 14:12:29.493,6,x,x,O,U,U,Y,1548007322,Norm,N,Y,1,29,005-04108891,V, ,Y,IAG,18, ,1,72, , ,N,2, ,187,186,594,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:31.344,06/11/2024 14:12:31.097,6,x,x,O,U,U,Y,1548007333,Norm,N,Y,1,28,008-16320046,V, ,Y,IAG,17, ,1,72, , ,N,2, ,161,179,487,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:31.506, ,6,x,x,O,U,U,Y,1548008996,Norm,N,Y,1,14,-, , , ,-, , , , , , ,N, , ,169,196,496,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:33.166,06/11/2024 14:12:32.870,6,x,x,O,U,U,Y,1548007340,Norm,N,Y,1,27,004-07412450,V, ,Y,IAG,17, ,1,72, , ,N,2, ,203,182,591,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:33.660, ,6,x,x,O,U,U,Y,1548009004,Norm,N,Y,1,15,-, , , ,-, , , , , , ,N, , ,167,200,521,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:35.564,06/11/2024 14:12:35.283,6,x,x,O,U,U,Y,1548007366,Norm,N,Y,1,19,008-15759918,V,C,Y,IAG,33, ,1,72, , ,N,2, ,164,189,486,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:39.194, ,6,x,x,O,U,U,Y,1548009061,Norm,N,Y,1,16,-, , , ,-, , , , , , ,N, , ,166,199,507,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:40.238,06/11/2024 14:12:40.094,6,x,x,O,U,U,Y,1548007391,Norm,N,Y,1,29,008-14016781,V, ,Y,IAG,26, ,1,72, , ,N,2, ,135,177,517,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:41.667,06/11/2024 14:12:41.448,6,x,x,O,U,U,Y,1548007424,Norm,N,Y,1,18,022-13525349,V, ,Y,IAG,32, ,1,72, , ,N,2, ,172,181,486,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:42.313,06/11/2024 14:12:42.198,6,x,x,O,U,U,Y,1548007404,Norm,N,Y,1,31,008-12266245,V, ,Y,IAG,29, ,1,72, , ,N,2, ,142,169,469,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:45.242,06/11/2024 14:12:44.979,6,x,x,O,U,U,Y,1548007432,Norm,N,Y,1,31,005-04938566,V, ,Y,IAG,11, ,1,72, , ,N,2, ,173,195,545,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:45.774, ,6,x,x,O,U,U,Y,1548009105,Norm,N,Y,1,18,-, , , ,-, , , , , , ,N, , ,206,191,564,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:48.602,06/11/2024 14:12:48.334,6,x,x,O,U,U,Y,1548007476,Norm,N,Y,1,18,008-10481876,V, ,Y,IAG,33, ,1,72, , ,N,2, ,176,195,520,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:49.331,06/11/2024 14:12:49.223,6,x,x,O,U,U,Y,1548007477,Norm,N,Y,1,27,005-04770351,V, ,Y,IAG,25, ,1,72, , ,N,2, ,181,185,505,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:51.395,06/11/2024 14:12:51.130,6,x,x,O,U,U,Y,1548007509,Norm,N,Y,1,17,005-04789159,V,SC,Y,IAG,33, ,1,72, , ,N,2, ,167,197,510,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:53.433, ,6,x,x,O,U,U,Y,1548009172,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,237,186,580,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:54.948,06/11/2024 14:12:54.698,6,x,x,O,U,U,Y,1548007541,Norm,N,Y,1,19,008-12869265,V, ,Y,IAG,37, ,1,266, , ,N,2, ,139,203,494,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:57.907, ,6,x,x,O,U,U,Y,1548009203,Norm,N,Y,1,20,-, , , ,-, , , , , , ,N, , ,262,210,608,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,4,06/11/2024 14:12:58.157,06/11/2024 14:12:57.941,6,x,x,O,U,U,Y,1548007553,Norm,N,Y,1,31,008-09308148,V, ,Y,IAG,21, ,1,72, , ,N,2, ,172,201,513,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:12:59.423,06/11/2024 14:12:59.252,6,x,x,O,U,U,Y,1548007573,Norm,N,Y,1,22,005-04429480,V, ,Y,IAG,28, ,1,72, , ,N,2, ,149,184,428,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:13:01.032,06/11/2024 14:13:00.863,6,x,x,O,U,U,Y,1548007586,Norm,N,Y,1,21,022-13794129,B, ,Y,IAG,47, ,1,72, , ,N,2, ,165,179,470,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:13:03.265,06/11/2024 14:13:02.949,6,x,x,O,U,U,Y,1548007605,Norm,N,Y,1,23,120-15456923,U, ,N,6C,29, ,1,0, , ,N,0, ,146,179,544,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:13:03.265,06/11/2024 14:13:02.964,6,x,x,O,U,U,Y,1548007605,Norm,N,Y,1,23,064-15456923,I, ,N,SeGO,26, ,1,8, , ,N, , ,146,179,544,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:13:03.265,06/11/2024 14:13:02.975,6,x,x,O,U,U,Y,1548007605,Norm,N,Y,1,23,006-08954249,U, ,N,IAG,39, ,1,72, , ,N,2, ,146,179,544,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:13:05.434,06/11/2024 14:13:05.211,6,x,x,O,U,U,Y,1548007622,Norm,N,Y,1,20,005-03185918,V, ,Y,IAG,43, ,1,72, , ,N,2, ,159,203,484,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:13:07.201,06/11/2024 14:13:06.917,6,x,x,O,U,U,Y,1548007639,Norm,N,Y,1,20,022-16186741,V, ,Y,IAG,47, ,1,72, , ,N,2, ,168,187,522,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
LT,6,06/11/2024 14:13:10.133, ,6,x,x,O,U,U,Y,1548009289,Norm,N,Y,1,19,-, , , ,-, , , , , , ,N, , ,138,192,472,0,2,2, , , , , , , , , , , , , , , , , , , , , , , , , 
